Depth,Concentration /cc,Influx /Year particles
1,,
2,4,0.44
3,5.6,0.617
4,4,0.442
5,2.8,0.311
6,4.4,0.491
7,3.6,0.404
8,2.8,0.317
9,2,0.228
10,21.2,2.428
11,12.4,1.429
12,7.2,0.833
13,6.8,0.79
14,5.6,0.651
15,3.2,0.373
16,0.8,0.093
17,1.2,0.139
18,8,0.925
19,9.2,1.059
20,9.2,1.053
21,12.4,1.407
22,14.8,1.667
23,12,1.338
24,11.2,1.235
25,11.2,1.22
26,6.4,0.687
27,10,1.059
28,13.2,1.376
29,6.4,0.656
30,6.4,0.645
31,8.8,0.871
32,7.2,0.7
33,11.2,1.067
34,16,1.494
35,29.2,2.669
36,30.8,2.755
37,21.6,1.89
38,16.8,1.437
39,17.6,1.47
40,8,0.653
41,10.4,0.829
42,9.6,0.747
43,23.2,1.76
44,17.2,1.273
45,17.2,1.241
46,17.6,1.239
47,21.2,1.454
48,13.6,0.909
49,11.2,0.73
50,14.4,0.914
51,21.6,1.337
52,11.2,0.675
53,15.6,0.916
54,11.2,0.641
55,8.8,0.491
56,6,0.326
57,16.4,0.868
58,23.2,1.197
59,32.8,1.649
60,14.8,0.725
61,18.4,0.879
62,14.4,0.671
63,10.8,0.491
64,20,0.889
65,12.8,0.557
66,24,1.025
67,24.8,1.039
68,21.6,0.89
69,16.4,0.665
70,21.6,0.863
71,10,0.394
72,10.8,0.42
73,12.4,0.477
74,15.6,0.593
75,17.2,0.648
76,14,0.522
77,2,0.074
78,5.2,0.191
79,18.4,0.672
80,12.8,0.465
81,12.8,0.462
82,12.4,0.446
83,18.4,0.66
84,32.4,1.159
85,17.6,0.629
86,28,0.999
87,24,0.856
88,19.6,0.7
89,18.4,0.658
90,12.8,0.459
91,21.6,0.776
92,22.8,0.823
93,18.8,0.681
94,29.6,1.078
95,17.2,0.63
96,18.8,0.694
97,23.2,0.863
98,21.2,0.795
99,15.6,0.591
100,19.2,0.735
101,9.2,0.356
102,11.2,0.438
103,13.2,0.521
104,23.2,0.925
105,20,0.806
106,18.4,0.749
107,18.8,0.773
108,6,0.249
109,12.8,0.537
110,18.4,0.78
111,13.6,0.582
112,19.2,0.83
113,15.2,0.663
114,17.6,0.776
115,19.2,0.854
116,34.4,1.545
117,16,0.726
118,16.8,0.769
119,20.4,0.942
120,12.8,0.597
121,22,1.035
122,17.2,0.816
123,24,1.149
124,33.6,1.623
125,21.2,1.033
126,16.4,0.806
127,28.4,1.407
128,27.2,1.359
129,18,0.907
130,21.2,1.077
131,22,1.126
132,16.4,0.846
133,20,1.04
134,16.4,0.859
135,11.6,0.612
136,30.8,1.636
137,20,1.07
138,11.2,0.603
139,16.4,0.889
140,21.2,1.157
141,17.2,0.945
142,13.6,0.751
143,26,1.444
144,14.4,0.805
145,16.8,0.944
146,20,1.13
147,31.6,1.794
148,22.8,1.301
149,30.8,1.766
150,32.4,1.866
151,18,1.042
152,14.4,0.837
153,16.8,0.98
154,20,1.171
155,11.6,0.682
156,17.2,1.014
157,21.6,1.277
158,31.2,1.851
159,20,1.19
160,14.4,0.859
161,20,1.195
162,10.8,0.647
163,11.2,0.672
164,16,0.961
165,6.8,0.409
166,18.4,1.108
167,20.4,1.229
168,14.4,0.868
169,13.6,0.82
170,8,0.483
171,7.6,0.458
172,11.6,0.699
173,17.2,1.036
174,12.8,0.771
175,24,1.443
176,27.2,1.634
177,12,0.72
178,15.2,0.911
179,17.2,1.029
180,10,0.598
181,15.6,0.931
182,15.6,0.93
183,16.8,1.001
184,24.8,1.475
185,14.8,0.879
186,18.4,1.092
187,22.8,1.351
188,,0
189,17.2,1.017
190,11.6,0.684
191,10,0.589
192,13.6,0.8
193,10.4,0.611
194,,0
195,,0
196,13.6,0.795
197,6.4,0.374
198,25.6,1.492
199,9.6,0.558
200,12.4,0.721
201,20,1.16
202,11.2,0.649
203,15.6,0.902
204,23.2,1.339
205,18.4,1.06
206,20,1.15
207,17.2,0.987
208,20.8,1.191
209,21.2,1.212
210,18.4,1.05
211,14,0.798
212,12,0.682
213,17.2,0.976
214,6.8,0.385
215,11.2,0.633
216,10.4,0.587
217,14.8,0.833
218,12,0.674
219,17.2,0.965
220,12.4,0.694
221,8,0.447
222,9.2,0.513
223,8.8,0.489
224,13.6,0.755
225,15.6,0.864
226,22.4,1.238
227,21.6,1.191
228,16,0.88
229,23.6,1.295
230,24.4,1.336
231,23.2,1.268
232,13.6,0.742
233,26,1.415
234,10,0.543
235,12,0.65
236,4.8,0.259
237,17.2,0.927
238,20.4,1.097
239,28,1.501
240,17.6,0.942
241,17.6,0.939
242,16.8,0.895
243,18.4,0.977
244,20,1.059
245,15.6,0.825
246,18.4,0.97
247,22.4,1.178
248,32,1.678
249,26.8,1.402
250,27.2,1.419
251,27.6,1.436
252,22.4,1.162
253,22.8,1.18
254,16.4,0.847
255,23.6,1.215
256,19.2,0.986
257,12.8,0.656
258,19.6,1.001
259,24.4,1.243
260,22,1.118
261,26.8,1.358
262,14,0.707
263,14,0.705
264,22.8,1.146
265,16.8,0.842
266,17.6,0.88
267,16.8,0.837
268,25.2,1.252
269,18.8,0.932
270,27.6,1.364
271,21.6,1.064
272,15.6,0.766
273,13.6,0.666
274,,0
275,24,1.169
276,20.4,0.99
277,30,1.452
278,23.6,1.139
279,25.2,1.213
280,28.4,1.363
281,20,0.957
282,23.2,1.106
283,22.8,1.084
284,27.2,1.29
285,28.4,1.342
286,24,1.131
287,21.6,1.015
288,24.8,1.162
289,41.6,1.942
290,26.4,1.229
291,8.8,0.408
292,12.4,0.574
293,9.2,0.424
294,24.8,1.14
295,13.6,0.623
296,12.8,0.585
297,13.2,0.601
298,16,0.727
299,18,0.815
300,18.8,0.849
301,33.6,1.514
302,12,0.539
303,15.2,0.682
304,21.2,0.949
305,8.8,0.393
306,12,0.535
307,6.4,0.285
308,14.8,0.657
309,30,1.331
310,19.6,0.868
311,13.2,0.584
312,,0
313,15.2,0.671
314,10.4,0.459
315,12.4,0.546
316,6.8,0.3
317,14.4,0.634
318,18.4,0.81
319,16.4,0.722
320,19.2,0.845
321,12.4,0.546
322,17.2,0.757
323,17.2,0.757
324,20,0.881
325,12.8,0.564
326,7.6,0.335
327,11.6,0.512
328,22,0.971
329,18,0.796
330,13.2,0.584
331,9.2,0.408
332,8,0.355
333,10,0.444
334,8.8,0.392
335,20,0.892
336,13.2,0.59
337,7.2,0.322
338,6.4,0.287
339,10.4,0.468
340,15.6,0.703
341,11.6,0.524
342,15.2,0.689
343,14.8,0.672
344,24.4,1.112
345,12,0.549
346,7.2,0.33
347,17.2,0.792
348,12,0.554
349,17.6,0.816
350,13.2,0.614
351,10.4,0.486
352,10,0.469
353,12.8,0.603
354,12.8,0.605
355,5.6,0.266
356,5.6,0.267
357,3.2,0.154
358,13.6,0.656
359,14,0.679
360,5.6,0.273
361,6,0.294
362,14,0.69
363,12,0.595
364,6.8,0.339
365,10.4,0.522
366,9.2,0.465
