Depth,Best,Dates
1,-50,
2,-41,
3,-32,
4,-22,
5,-13,
6,-4,
7,5,
8,14,
9,22,
10,31,
11,40,
12,49,
13,57,
14,66,
15,74,
16,83,
17,92,
18,100,100
19,109,
20,118,
21,126,
22,135,
23,144,
24,153,
25,162,
26,171,
27,181,
28,190,
29,200,
30,209,
31,219,
32,229,
33,240,
34,250,
35,261,
36,272,
37,283,
38,294,
39,306,
40,318,
41,330,
42,343,
43,356,
44,369,
45,382,
46,396,
47,410,
48,425,
49,440,
50,455,
51,471,
52,487,
53,504,
54,521,
55,538,
56,556,
57,575,575
58,594,
59,613,
60,633,
61,653,
62,674,
63,696,
64,718,
65,740,
66,763,
67,787,
68,810,
69,835,
70,859,
71,884,
72,910,
73,935,
74,961,
75,988,
76,1014,
77,1041,
78,1068,
79,1095,
80,1123,
81,1150,
82,1178,
83,1206,
84,1234,
85,1262,
86,1290,
87,1318,
88,1346,
89,1374,
90,1402,
91,1429,
92,1457,
93,1485,
94,1513,
95,1540,
96,1567,
97,1594,
98,1621,
99,1648,
100,1674,
101,1701,
102,1726,
103,1752,
104,1777,1777
105,1802,
106,1827,
107,1852,
108,1876,
109,1900,
110,1924,
111,1948,
112,1971,
113,1994,
114,2017,
115,2040,
116,2062,
117,2084,
118,2106,
119,2128,
120,2150,
121,2171,
122,2193,
123,2214,
124,2235,
125,2255,
126,2276,
127,2296,
128,2316,
129,2336,
130,2356,
131,2376,
132,2395,
133,2415,
134,2434,
135,2453,
136,2472,
137,2491,
138,2510,
139,2528,
140,2547,
141,2565,
142,2583,
143,2601,
144,2619,
145,2637,
146,2655,
147,2673,
148,2690,
149,2708,
150,2725,
151,2743,
152,2760,
153,2777,
154,2794,
155,2811,
156,2828,
157,2845,
158,2862,
159,2879,
160,2896,
161,2913,
162,2929,
163,2946,
164,2963,
165,2979,
166,2996,
167,3013,3013
168,3029,
169,3046,
170,3062,
171,3079,
172,3096,
173,3112,
174,3129,
175,3145,
176,3162,
177,3179,
178,3195,
179,3212,
180,3229,
181,3245,
182,3262,
183,3279,
184,3296,
185,3313,
186,3329,
187,3346,
188,3363,
189,3380,
190,3397,
191,3414,
192,3431,
193,3448,
194,3465,
195,3482,
196,3499,
197,3516,
198,3533,
199,3550,
200,3568,
201,3585,
202,3602,
203,3619,
204,3637,
205,3654,
206,3671,
207,3689,
208,3706,
209,3724,
210,3741,
211,3759,
212,3776,
213,3794,
214,3811,
215,3829,
216,3847,
217,3864,
218,3882,
219,3900,
220,3918,
221,3936,
222,3954,
223,3972,
224,3990,
225,4008,
226,4026,
227,4044,4044
228,4062,
229,4080,
230,4098,
231,4116,
232,4135,
233,4153,
234,4172,
235,4190,
236,4208,
237,4227,
238,4245,
239,4264,
240,4283,
241,4301,
242,4320,
243,4339,
244,4358,
245,4377,
246,4396,
247,4415,
248,4434,
249,4453,
250,4472,
251,4491,
252,4510,
253,4529,
254,4549,
255,4568,
256,4587,
257,4607,
258,4626,
259,4646,
260,4666,
261,4685,
262,4705,
263,4725,
264,4745,
265,4765,
266,4785,
267,4805,
268,4825,
269,4845,
270,4865,
271,4885,
272,4906,
273,4926,
274,4946,
275,4967,
276,4987,
277,5008,
278,5029,
279,5049,
280,5070,
281,5091,
282,5112,
283,5133,
284,5154,
285,5175,
286,5196,
287,5217,
288,5239,
289,5260,
290,5281,
291,5303,
292,5324,
293,5346,
294,5368,
295,5389,
296,5411,
297,5433,
298,5455,
299,5477,
300,5499,
301,5521,
302,5543,
303,5566,
304,5588,
305,5610,
306,5633,
307,5655,
308,5678,5678
309,5700,
310,5723,
311,5745,
312,5768,
313,5791,
314,5813,
315,5836,
316,5859,
317,5881,
318,5904,
319,5927,
320,5949,
321,5972,
322,5995,
323,6018,
324,6040,
325,6063,
326,6086,
327,6108,
328,6131,
329,6154,
330,6176,
331,6199,
332,6222,
333,6244,
334,6267,
335,6289,
336,6311,
337,6334,
338,6356,
339,6378,
340,6401,
341,6423,
342,6445,
343,6467,
344,6489,
345,6511,
346,6533,
347,6555,
348,6576,
349,6598,
350,6620,
351,6641,
352,6663,
353,6684,
354,6705,
355,6726,
356,6747,
357,6768,
358,6789,
359,6810,
360,6830,
361,6851,
362,6871,
363,6892,
364,6912,
365,6932,
366,6952,
367,6972,
368,6991,
369,7011,
370,7030,
371,7049,
372,7069,
373,7088,
374,7106,
375,7125,
376,7144,
377,7162,
378,7180,7180
379,7198,
380,7216,
381,7234,
382,7251,
383,7269,
384,7286,
385,7303,
386,7320,
387,7337,
388,7353,
389,7369,
390,7386,
391,7402,
392,7418,
393,7433,
394,7449,
395,7465,
396,7480,
397,7496,
398,7511,
399,7526,
400,7541,
401,7556,
402,7572,
403,7587,
404,7602,
405,7617,7617
406,7632,
 ,,
