Depth,%clay,%clay 5pt.,%silt,%silt 5pt.,%sand,%sand 5pt.
1,15.86,16.87,65.74,69.264,18.31,13.772
6,17.64,16.87,70.85,69.264,11.41,13.772
11,17.09,16.87,69.52,69.264,13.29,13.772
16,18.32,16.64,74.34,68.892,7.23,14.372
21,15.42,15.63,65.87,68.208,18.62,16.064
26,14.73,15.06,63.88,67.112,21.31,17.738
31,12.6,15.7,67.43,66.07,19.87,18.14
36,14.22,15.76,64.04,66.4112,21.66,17.7344
41,21.52,15.62,69.13,66.6392,9.24,17.6504
45,15.745,16.9,67.576,66.9764,16.592,16.031
51,14.01,17.25,65.02,69.4284,20.89,13.231
57,19.014,16.19,69.116,70.0984,11.773,13.621
61,15.94,16.26,76.3,69.9594,7.66,13.6926
66,16.23,16.24,72.48,69.6454,11.19,14.0166
72,16.083,16.51,66.881,70.0754,16.95,13.3204
76,13.95,16.98,63.45,69.2198,22.51,13.6998
79,20.341,16.3,71.266,66.8618,8.292,16.7498
87,18.318,16.31,72.022,67.0154,9.557,16.5812
91,12.8,17.16,60.69,69.4022,26.44,13.3428
95,16.157,15.73,67.649,68.455,16.107,15.7224
103,18.192,16.34,75.384,68.0272,6.318,15.5448
106,13.2,18.83,66.53,69.1132,20.19,11.9648
110,21.343,19.62,69.883,69.7474,8.669,10.5374
114,25.24,19.16,66.12,67.8406,8.54,12.9018
120,20.11,20.09,70.82,67.1706,8.97,12.6418
126,15.92,18.7,65.85,65.742,18.14,15.466
131,17.84,17.24,63.18,65.666,18.89,17.006
137,14.4,15.37,62.74,62.77,22.79,21.78
141.5,17.92,15.2,65.74,62.266,16.24,22.446
146,10.75,16.77,56.34,63.238,32.84,19.9086
150,15.11,17.61,63.33,65.468,21.47,16.8308
155.5,25.645,18.79,68.04,66.3064,6.203,14.8128
159.5,18.615,18.85,73.89,67.0184,7.401,14.0368
163.5,23.809,19.13,69.932,68.4368,6.15,12.3388
166,11.07,17.77,59.9,68.832,28.96,13.3018
171.5,16.505,18.63,70.422,67.7328,12.98,13.544
179.5,18.867,19.07,70.016,67.1024,11.018,13.732
187,22.884,21.24,68.394,69.3478,8.612,9.307
191,26.03,21.04,66.78,68.1754,7.09,10.687
195.5,21.93,20.5,71.127,68.1508,6.835,11.2498
201,15.48,18.81,64.56,66.994,19.88,14.1054
203.5,16.183,16.9,69.893,67.5296,13.832,15.4838
206,14.42,15.75,62.61,66.6562,22.89,17.5028
211.5,16.468,17.02,69.458,67.9284,13.982,14.9606
216,16.22,17.18,66.76,67.7276,16.93,15.0004
219,21.801,16.87,70.921,69.4356,7.169,13.6024
227,16.988,16.9,68.889,70.2244,14.031,12.7858
231,12.87,17.37,71.15,70.6764,15.9,11.8598
235,16.599,16.68,73.402,70.0782,9.899,13.15
241,18.59,16.43,69.02,68.9858,12.3,14.4942
246,18.35,16.73,67.93,68.1878,13.62,14.9902
251,15.738,18.14,63.427,67.6138,20.752,14.1542
256,14.38,18.91,67.16,68.3572,18.38,12.6358
259,23.636,18.06,70.532,68.6292,5.719,13.2132
265,22.444,19.14,72.737,70.1138,4.708,10.6508
272,14.117,20.64,69.29,70.589,16.507,8.6632
276,21.1,18.63,70.85,70.7826,7.94,10.487
280,21.913,16.82,69.536,70.071,8.442,13.012
284,13.573,16.73,71.5,69.7104,14.838,13.4678
288,13.405,14.7,69.179,67.6864,17.333,17.5238
292,13.645,12.95,67.487,67.4036,18.786,19.5702
296,10.98,13.71,60.73,66.4098,28.22,19.8006
300,13.123,13.67,68.122,65.084,18.674,21.168
308,17.389,14.33,66.531,64.9226,15.99,20.6696
311,13.2,15.52,62.55,66.0986,24.17,18.2996
316,16.937,16.61,66.68,66.6906,16.294,16.6164
321,16.94,15.83,66.61,67.0408,16.37,17.0474
324,18.561,16.16,71.082,68.0668,10.258,15.6854
331,13.489,16.82,68.282,69.1882,18.145,13.9012
336,14.88,16.88,67.68,70.5222,17.36,12.5086
339,20.233,18.31,72.287,69.9498,7.373,11.639
345,17.214,19.34,73.28,70.7352,9.407,9.82
351,25.75,19.87,68.22,71.656,5.91,8.3716
353,18.639,19.58,72.209,71.657,9.05,8.657
361,17.498,18.53,72.284,71.235,10.118,10.1282
369,18.803,15.84,72.292,71.957,8.8,12.1102
377,11.982,15.63,71.17,72.2072,16.763,12.0622
381,12.26,15.86,71.83,72.253,15.82,11.7954
387,17.63,15.11,73.46,72.4842,8.81,12.3104
390.5,18.604,14.6,72.513,72.6636,8.784,12.6454
397.5,15.086,13.55,73.448,69.9924,11.375,16.3688
399,9.419,13.55,72.067,69.9924,18.438,16.3688
403.5,7.032,13.55,58.474,69.9924,34.437,16.3688
